2024-12-30 19:36:37
Mean success rate: 0.2951666666666667
Evaluation 45 success rate: 1.0
Evaluation 46 success rate: 1.0
Evaluation 47 success rate: 0.8502
Evaluation 48 success rate: 0.8686
Evaluation 49 success rate: 0.8186
Evaluation 50 success rate: 0.9038
Evaluation 51 success rate: 1.0
Mean success rate: 0.9067098039215687
2025-02-24 19:49:25
Evaluation 1 success rate: 0.9998
Evaluation 2 success rate: 0.998
Evaluation 3 success rate: 0.4752
Evaluation 4 success rate: 0.2806
Evaluation 5 success rate: 0.9736
Evaluation 6 success rate: 0.6828
Evaluation 7 success rate: 0.9954
Evaluation 8 success rate: 1.0
Evaluation 9 success rate: 0.9982
Evaluation 10 success rate: 0.861
Evaluation 11 success rate: 0.9956
Evaluation 12 success rate: 1.0
Evaluation 13 success rate: 0.999
Evaluation 14 success rate: 1.0
Evaluation 15 success rate: 0.9984
Evaluation 16 success rate: 0.994
Evaluation 17 success rate: 0.7056
Evaluation 18 success rate: 0.89
Evaluation 19 success rate: 0.9976
Evaluation 20 success rate: 0.7054
Evaluation 21 success rate: 0.912
Evaluation 22 success rate: 0.8974
Evaluation 23 success rate: 0.9868
Evaluation 24 success rate: 0.66
Evaluation 25 success rate: 0.9776
Evaluation 26 success rate: 0.7612
Evaluation 27 success rate: 0.998
Evaluation 28 success rate: 0.9134
Evaluation 29 success rate: 0.7508
Evaluation 30 success rate: 0.9952
Evaluation 31 success rate: 0.9986
Evaluation 32 success rate: 1.0
Evaluation 33 success rate: 0.9386
Evaluation 34 success rate: 0.8868
Evaluation 35 success rate: 0.9992
Evaluation 36 success rate: 0.9996
Evaluation 37 success rate: 0.886
Evaluation 38 success rate: 0.7108
Evaluation 39 success rate: 0.7668
Evaluation 40 success rate: 0.9994
Evaluation 41 success rate: 0.6788
Evaluation 42 success rate: 0.793
Evaluation 43 success rate: 0.7744
Evaluation 44 success rate: 0.9968
Evaluation 45 success rate: 0.7688
Evaluation 46 success rate: 0.737
Evaluation 47 success rate: 0.7416
Evaluation 48 success rate: 0.4574
Evaluation 49 success rate: 0.6266
Evaluation 50 success rate: 0.9952
Evaluation 51 success rate: 0.9984
Evaluation 52 success rate: 1.0
Evaluation 53 success rate: 0.9996
Evaluation 54 success rate: 0.9994
Evaluation 55 success rate: 1.0
Evaluation 56 success rate: 1.0
Evaluation 57 success rate: 1.0
Evaluation 58 success rate: 0.6942
Evaluation 59 success rate: 0.8226
Evaluation 60 success rate: 0.9826
Evaluation 61 success rate: 0.9962
Evaluation 62 success rate: 0.6916
Evaluation 63 success rate: 0.9114
Evaluation 64 success rate: 0.8338
Evaluation 65 success rate: 0.9836
Evaluation 66 success rate: 0.8584
Evaluation 67 success rate: 0.999
Evaluation 68 success rate: 0.841
Evaluation 69 success rate: 0.9856
Evaluation 70 success rate: 0.9688
Evaluation 71 success rate: 0.9862
Evaluation 72 success rate: 0.9984
Evaluation 73 success rate: 0.6206
Evaluation 74 success rate: 0.9906
Evaluation 75 success rate: 0.959
Evaluation 76 success rate: 0.9024
Evaluation 77 success rate: 0.9408
Evaluation 78 success rate: 0.9958
Evaluation 79 success rate: 0.985
Evaluation 80 success rate: 0.9852
Evaluation 81 success rate: 0.9382
Evaluation 82 success rate: 0.9976
Evaluation 83 success rate: 0.9918
Evaluation 84 success rate: 0.9776
Evaluation 85 success rate: 0.975
Evaluation 86 success rate: 0.9968
Evaluation 87 success rate: 0.9746
Evaluation 88 success rate: 0.974
Evaluation 89 success rate: 0.9846
Evaluation 90 success rate: 0.9954
Evaluation 91 success rate: 0.8524
Evaluation 92 success rate: 0.9956
Evaluation 93 success rate: 0.9962
Evaluation 94 success rate: 0.9856
Evaluation 95 success rate: 0.997
Evaluation 96 success rate: 0.7976
Evaluation 97 success rate: 0.7824
Evaluation 98 success rate: 0.9992
Evaluation 99 success rate: 0.9998
Evaluation 100 success rate: 0.8264
Evaluation 101 success rate: 1.0
Evaluation 102 success rate: 0.9804
Evaluation 103 success rate: 0.9966
Evaluation 104 success rate: 1.0
Evaluation 105 success rate: 0.983
Evaluation 106 success rate: 0.866
Evaluation 107 success rate: 0.9952
Evaluation 108 success rate: 0.9014
Evaluation 109 success rate: 0.6894
Evaluation 110 success rate: 0.798
Evaluation 111 success rate: 0.9942
Evaluation 112 success rate: 0.9188
Evaluation 113 success rate: 0.9952
Evaluation 114 success rate: 0.9556
Evaluation 115 success rate: 0.9996
Evaluation 116 success rate: 0.9996
Evaluation 117 success rate: 0.9994
Evaluation 118 success rate: 0.9232
Evaluation 119 success rate: 0.9744
Evaluation 120 success rate: 0.9984
Evaluation 121 success rate: 1.0
Evaluation 122 success rate: 0.9994
Evaluation 123 success rate: 0.9998
Evaluation 124 success rate: 0.9972
Evaluation 125 success rate: 0.9998
Evaluation 126 success rate: 0.9998
Evaluation 127 success rate: 0.9998
Evaluation 128 success rate: 0.9992
Evaluation 129 success rate: 0.9984
Evaluation 130 success rate: 0.9998
Evaluation 131 success rate: 0.9898
Evaluation 132 success rate: 0.9994
Evaluation 133 success rate: 0.709
Evaluation 134 success rate: 0.5804
Evaluation 135 success rate: 0.9902
Evaluation 136 success rate: 0.8146
Evaluation 137 success rate: 0.9644
Evaluation 138 success rate: 1.0
Evaluation 139 success rate: 1.0
Evaluation 140 success rate: 1.0
Evaluation 141 success rate: 0.9992
Evaluation 142 success rate: 1.0
Evaluation 143 success rate: 1.0
Evaluation 144 success rate: 1.0
Evaluation 145 success rate: 0.9742
Evaluation 146 success rate: 0.9948
Evaluation 147 success rate: 0.9986
Evaluation 148 success rate: 0.9972
Evaluation 149 success rate: 0.9984
Evaluation 150 success rate: 1.0
Evaluation 151 success rate: 0.9852
Evaluation 152 success rate: 1.0
Evaluation 153 success rate: 0.9654
Evaluation 154 success rate: 0.8496
Evaluation 155 success rate: 0.9972
Evaluation 156 success rate: 0.5856
Evaluation 157 success rate: 0.937
Evaluation 158 success rate: 0.785
Evaluation 159 success rate: 1.0
Evaluation 160 success rate: 1.0
Evaluation 161 success rate: 0.9938
Evaluation 162 success rate: 0.9942
Evaluation 163 success rate: 1.0
Evaluation 164 success rate: 1.0
Evaluation 165 success rate: 1.0
Evaluation 166 success rate: 0.9936
Evaluation 167 success rate: 0.9756
Evaluation 168 success rate: 0.9526
Evaluation 169 success rate: 0.8818
Evaluation 170 success rate: 0.9984
Evaluation 171 success rate: 1.0
Evaluation 172 success rate: 0.919
Evaluation 173 success rate: 0.9976
Evaluation 174 success rate: 0.9972
Evaluation 175 success rate: 0.9498
Evaluation 176 success rate: 0.9074
Evaluation 177 success rate: 0.9432
Evaluation 178 success rate: 0.7428
Evaluation 179 success rate: 0.9446
Evaluation 180 success rate: 0.661
Evaluation 181 success rate: 0.9934
Evaluation 182 success rate: 0.8802
Evaluation 183 success rate: 0.9994
Evaluation 184 success rate: 0.9966
Evaluation 185 success rate: 0.9994
Evaluation 186 success rate: 0.6328
Evaluation 187 success rate: 0.9992
Evaluation 188 success rate: 1.0
Evaluation 189 success rate: 0.9984
Evaluation 190 success rate: 0.801
Evaluation 191 success rate: 0.9884
Evaluation 192 success rate: 0.9992
Evaluation 193 success rate: 0.9986
Evaluation 194 success rate: 0.6604
Evaluation 195 success rate: 0.9984
Evaluation 196 success rate: 0.6786
Evaluation 197 success rate: 0.9968
Evaluation 198 success rate: 0.7924
Evaluation 199 success rate: 0.9994
Evaluation 200 success rate: 0.999
Evaluation 201 success rate: 0.9338
Evaluation 202 success rate: 1.0
Evaluation 203 success rate: 0.7572
Evaluation 204 success rate: 0.9834
Evaluation 205 success rate: 0.9778
Evaluation 206 success rate: 0.9962
Evaluation 207 success rate: 1.0
Evaluation 208 success rate: 0.9976
Evaluation 209 success rate: 0.9998
Evaluation 210 success rate: 0.998
Evaluation 211 success rate: 0.9746
Evaluation 212 success rate: 0.9708
Evaluation 213 success rate: 1.0
Evaluation 214 success rate: 0.9988
Evaluation 215 success rate: 1.0
Evaluation 216 success rate: 0.9984
Evaluation 217 success rate: 0.9338
Evaluation 218 success rate: 0.9962
Evaluation 219 success rate: 0.8832
Evaluation 220 success rate: 0.9996
Evaluation 221 success rate: 1.0
Mean success rate: 0.9269963800904977
2025-02-25 16:18:23
2025-02-25 16:20:03
Evaluation 1 success rate: 0.151
2025-02-25 16:23:21
2025-02-25 16:25:23
2025-02-25 16:27:54
Evaluation 1 success rate: 0.8534
2025-02-25 16:43:03
Evaluation 1 success rate: 0.69525
Evaluation 2 success rate: 0.4215
Evaluation 3 success rate: 0.41425
Evaluation 4 success rate: 0.14125
Evaluation 5 success rate: 0.75775
Evaluation 6 success rate: 0.3375
Evaluation 7 success rate: 0.46025
Evaluation 8 success rate: 0.15875
Evaluation 9 success rate: 0.37875
Evaluation 10 success rate: 0.80525
Evaluation 11 success rate: 0.37675
Evaluation 12 success rate: 0.41675
Evaluation 13 success rate: 0.34875
Evaluation 14 success rate: 0.36075
Evaluation 15 success rate: 0.15475
Evaluation 16 success rate: 0.5345
Evaluation 17 success rate: 0.63675
Evaluation 18 success rate: 0.263
Evaluation 19 success rate: 0.58875
Evaluation 20 success rate: 0.46675
Evaluation 21 success rate: 0.325
Evaluation 22 success rate: 0.686
Evaluation 23 success rate: 0.70875
Evaluation 24 success rate: 0.178
Evaluation 25 success rate: 0.2075
Evaluation 26 success rate: 0.15825
Evaluation 27 success rate: 0.557
Evaluation 28 success rate: 0.613
Evaluation 29 success rate: 0.55225
Evaluation 30 success rate: 0.33425
Evaluation 31 success rate: 0.40325
Evaluation 32 success rate: 0.599
Evaluation 33 success rate: 0.3065
Evaluation 34 success rate: 0.35325
Evaluation 35 success rate: 0.55825
Evaluation 36 success rate: 0.23775
Evaluation 37 success rate: 0.68775
Evaluation 38 success rate: 0.5905
Evaluation 39 success rate: 0.37025
Evaluation 40 success rate: 0.62025
Evaluation 41 success rate: 0.5605
Evaluation 42 success rate: 0.0945
Evaluation 43 success rate: 0.304
Evaluation 44 success rate: 0.5165
Evaluation 45 success rate: 0.25925
Evaluation 46 success rate: 0.41075
Evaluation 47 success rate: 0.57725
Evaluation 48 success rate: 0.25525
Evaluation 49 success rate: 0.5785
Evaluation 50 success rate: 0.41425
Evaluation 51 success rate: 0.37875
Evaluation 52 success rate: 0.61825
Evaluation 53 success rate: 0.47625
Evaluation 54 success rate: 0.25325
Evaluation 55 success rate: 0.433
2025-02-27 23:50:37
Evaluation 1 success rate: 0.79975
Evaluation 2 success rate: 0.29875
Evaluation 3 success rate: 0.44725
Evaluation 4 success rate: 0.86875
Evaluation 5 success rate: 0.2695
Evaluation 6 success rate: 0.41975
Evaluation 7 success rate: 0.6785
Evaluation 8 success rate: 0.68975
Evaluation 9 success rate: 0.822
Evaluation 10 success rate: 0.5595
Evaluation 11 success rate: 0.64325
Evaluation 12 success rate: 0.80525
Evaluation 13 success rate: 0.67725
Evaluation 14 success rate: 0.519
Evaluation 15 success rate: 0.51325
Evaluation 16 success rate: 0.60825
Evaluation 17 success rate: 0.6155
Evaluation 18 success rate: 0.72525
Evaluation 19 success rate: 0.30125
Evaluation 20 success rate: 0.387
Evaluation 21 success rate: 0.8505
Evaluation 22 success rate: 0.6425
Evaluation 23 success rate: 0.58975
Evaluation 24 success rate: 0.82475
Evaluation 25 success rate: 0.68425
Evaluation 26 success rate: 0.95375
Evaluation 27 success rate: 0.67975
Evaluation 28 success rate: 0.4375
Evaluation 29 success rate: 0.998
Evaluation 30 success rate: 0.67525
Evaluation 31 success rate: 0.32625
Evaluation 32 success rate: 0.5705
Evaluation 33 success rate: 0.8415
Evaluation 34 success rate: 0.51375
Evaluation 35 success rate: 0.685
Evaluation 36 success rate: 0.5135
Evaluation 37 success rate: 0.4455
Evaluation 38 success rate: 0.85875
Evaluation 39 success rate: 0.619
Evaluation 40 success rate: 0.10175
Evaluation 41 success rate: 0.909
Mean success rate: 0.6187621951219512
2025-03-01 16:08:05
Evaluation 1 success rate: 1.0
Evaluation 2 success rate: 0.9895
Evaluation 3 success rate: 0.40225
Evaluation 4 success rate: 0.19325
Evaluation 5 success rate: 0.889
Evaluation 6 success rate: 0.69725
Evaluation 7 success rate: 0.99225
Evaluation 8 success rate: 0.9365
Evaluation 9 success rate: 0.99875
Evaluation 10 success rate: 0.86925
Evaluation 11 success rate: 0.99975
Evaluation 12 success rate: 0.94925
Evaluation 13 success rate: 0.99925
Evaluation 14 success rate: 1.0
Evaluation 15 success rate: 0.98425
Evaluation 16 success rate: 0.96725
Evaluation 17 success rate: 0.7185
Evaluation 18 success rate: 0.815
Evaluation 19 success rate: 0.99225
Evaluation 20 success rate: 0.873
Evaluation 21 success rate: 0.88075
Evaluation 22 success rate: 0.78125
Evaluation 23 success rate: 0.97975
Evaluation 24 success rate: 0.492
Evaluation 25 success rate: 0.804
Evaluation 26 success rate: 0.50775
Evaluation 27 success rate: 0.99875
Evaluation 28 success rate: 0.67875
Evaluation 29 success rate: 0.77575
Evaluation 30 success rate: 0.998
Evaluation 31 success rate: 1.0
Evaluation 32 success rate: 1.0
Evaluation 33 success rate: 0.9665
Evaluation 34 success rate: 0.6545
Evaluation 35 success rate: 0.9995
Evaluation 36 success rate: 1.0
Evaluation 37 success rate: 0.86275
Evaluation 38 success rate: 0.7345
Evaluation 39 success rate: 0.67075
Evaluation 40 success rate: 0.99975
Evaluation 41 success rate: 0.863
Evaluation 42 success rate: 0.87625
Evaluation 43 success rate: 0.80025
Evaluation 44 success rate: 0.98625
Evaluation 45 success rate: 0.75525
Evaluation 46 success rate: 0.72125
Evaluation 47 success rate: 0.6215
Evaluation 48 success rate: 0.7385
Evaluation 49 success rate: 0.733
Evaluation 50 success rate: 0.99475
Evaluation 51 success rate: 0.999
Evaluation 52 success rate: 0.99975
Evaluation 53 success rate: 0.97975
Evaluation 54 success rate: 1.0
Evaluation 55 success rate: 0.95
Evaluation 56 success rate: 0.9755
Evaluation 57 success rate: 0.9985
Evaluation 58 success rate: 0.6965
Evaluation 59 success rate: 0.89375
Evaluation 60 success rate: 0.91475
Evaluation 61 success rate: 0.99875
Evaluation 62 success rate: 0.6825
Evaluation 63 success rate: 0.836
Evaluation 64 success rate: 0.8455
Evaluation 65 success rate: 0.996
Evaluation 66 success rate: 0.69825
Evaluation 67 success rate: 0.9985
Evaluation 68 success rate: 0.855
Evaluation 69 success rate: 0.9925
Evaluation 70 success rate: 0.85675
Evaluation 71 success rate: 0.9935
Evaluation 72 success rate: 0.86325
Evaluation 73 success rate: 0.9225
Evaluation 74 success rate: 0.91275
Evaluation 75 success rate: 1.0
Evaluation 76 success rate: 0.6935
Evaluation 77 success rate: 0.70425
Evaluation 78 success rate: 0.992
Evaluation 79 success rate: 0.998
Evaluation 80 success rate: 0.985
Evaluation 81 success rate: 0.87275
Evaluation 82 success rate: 0.99775
Evaluation 83 success rate: 0.993
Evaluation 84 success rate: 0.23575
Evaluation 85 success rate: 0.73725
Evaluation 86 success rate: 0.99825
Evaluation 87 success rate: 0.98
Evaluation 88 success rate: 0.9765
Evaluation 89 success rate: 0.987
Evaluation 90 success rate: 0.99825
Evaluation 91 success rate: 0.777
Evaluation 92 success rate: 0.99775
Evaluation 93 success rate: 0.81825
Evaluation 94 success rate: 0.9775
Evaluation 95 success rate: 0.99825
Evaluation 96 success rate: 0.79325
Evaluation 97 success rate: 0.50625
Evaluation 98 success rate: 0.99825
Evaluation 99 success rate: 1.0
Evaluation 100 success rate: 0.99575
Evaluation 101 success rate: 1.0
Evaluation 102 success rate: 0.95775
Evaluation 103 success rate: 0.997
Evaluation 104 success rate: 0.90875
Evaluation 105 success rate: 0.95375
Evaluation 106 success rate: 0.91025
Evaluation 107 success rate: 0.998
Evaluation 108 success rate: 0.8445
Evaluation 109 success rate: 0.6755
Evaluation 110 success rate: 0.781
Evaluation 111 success rate: 0.9875
Evaluation 112 success rate: 0.8405
Evaluation 113 success rate: 0.99775
Evaluation 114 success rate: 1.0
Evaluation 115 success rate: 1.0
Evaluation 116 success rate: 1.0
Evaluation 117 success rate: 0.99975
Evaluation 118 success rate: 0.8845
Evaluation 119 success rate: 0.85575
Evaluation 120 success rate: 0.99725
Evaluation 121 success rate: 1.0
Evaluation 122 success rate: 0.99975
Evaluation 123 success rate: 0.9995
Evaluation 124 success rate: 0.991
Evaluation 125 success rate: 1.0
Evaluation 126 success rate: 0.99775
Evaluation 127 success rate: 0.99975
Evaluation 128 success rate: 1.0
Evaluation 129 success rate: 0.997
Evaluation 130 success rate: 1.0
Evaluation 131 success rate: 0.877
Evaluation 132 success rate: 0.9995
Evaluation 133 success rate: 0.70025
Evaluation 134 success rate: 0.749
Evaluation 135 success rate: 0.999
Evaluation 136 success rate: 0.98475
Evaluation 137 success rate: 0.99875
Evaluation 138 success rate: 0.98975
Evaluation 139 success rate: 1.0
Evaluation 140 success rate: 1.0
Evaluation 141 success rate: 0.99925
Evaluation 142 success rate: 1.0
Evaluation 143 success rate: 1.0
Evaluation 144 success rate: 1.0
Evaluation 145 success rate: 0.9645
Evaluation 146 success rate: 0.998
Evaluation 147 success rate: 0.99725
Evaluation 148 success rate: 0.99625
Evaluation 149 success rate: 0.99975
Evaluation 150 success rate: 0.993
Evaluation 151 success rate: 0.99575
Evaluation 152 success rate: 0.98225
Evaluation 153 success rate: 0.9295
Evaluation 154 success rate: 0.783
Evaluation 155 success rate: 0.89675
Evaluation 156 success rate: 0.49925
Evaluation 157 success rate: 0.93825
Evaluation 158 success rate: 0.8275
Evaluation 159 success rate: 0.99125
Evaluation 160 success rate: 0.99225
Evaluation 161 success rate: 0.97575
Evaluation 162 success rate: 0.986
Evaluation 163 success rate: 0.93375
Evaluation 164 success rate: 0.99975
Evaluation 165 success rate: 0.93475
Evaluation 166 success rate: 0.9915
Evaluation 167 success rate: 0.93275
Evaluation 168 success rate: 0.941
Evaluation 169 success rate: 0.8495
Evaluation 170 success rate: 0.99825
Evaluation 171 success rate: 0.96
Evaluation 172 success rate: 0.99175
Evaluation 173 success rate: 0.98025
Evaluation 174 success rate: 0.991
Evaluation 175 success rate: 0.94525
Evaluation 176 success rate: 0.81775
Evaluation 177 success rate: 0.7275
Evaluation 178 success rate: 0.7345
Evaluation 179 success rate: 0.9665
Evaluation 180 success rate: 0.999
Evaluation 181 success rate: 0.84325
Evaluation 182 success rate: 0.9975
Evaluation 183 success rate: 0.98875
Evaluation 184 success rate: 0.984
Evaluation 185 success rate: 0.977
Evaluation 186 success rate: 0.6405
Evaluation 187 success rate: 0.9985
Evaluation 188 success rate: 1.0
Evaluation 189 success rate: 0.99275
Evaluation 190 success rate: 0.85675
Evaluation 191 success rate: 0.98775
Evaluation 192 success rate: 1.0
Evaluation 193 success rate: 0.999
Evaluation 194 success rate: 0.6985
Evaluation 195 success rate: 0.9995
Evaluation 196 success rate: 0.7455
Evaluation 197 success rate: 0.99725
Evaluation 198 success rate: 0.60775
Evaluation 199 success rate: 0.99975
Evaluation 200 success rate: 1.0
Evaluation 201 success rate: 0.95625
Evaluation 202 success rate: 1.0
Evaluation 203 success rate: 0.79525
Evaluation 204 success rate: 0.985
Evaluation 205 success rate: 0.719
Evaluation 206 success rate: 0.971
Evaluation 207 success rate: 0.98075
Evaluation 208 success rate: 0.99625
Evaluation 209 success rate: 1.0
Evaluation 210 success rate: 0.9985
Evaluation 211 success rate: 0.99
Evaluation 212 success rate: 0.98475
Evaluation 213 success rate: 0.98975
Evaluation 214 success rate: 1.0
Evaluation 215 success rate: 1.0
Evaluation 216 success rate: 0.99975
Evaluation 217 success rate: 0.94775
Evaluation 218 success rate: 0.996
Evaluation 219 success rate: 0.81425
Evaluation 220 success rate: 0.9995
Evaluation 221 success rate: 1.0
Mean success rate: 0.9084276018099547
2025-03-04 17:42:53
Evaluation 1 success rate: 0.791
Evaluation 2 success rate: 0.166
Evaluation 3 success rate: 0.47525
Evaluation 4 success rate: 0.78425
Evaluation 5 success rate: 0.389
Evaluation 6 success rate: 0.59025
Evaluation 7 success rate: 0.636
Evaluation 8 success rate: 0.786
Evaluation 9 success rate: 0.65675
Evaluation 10 success rate: 0.60925
Evaluation 11 success rate: 0.5675
Evaluation 12 success rate: 0.70075
Evaluation 13 success rate: 0.50525
Evaluation 14 success rate: 0.6505
Evaluation 15 success rate: 0.5445
Evaluation 16 success rate: 0.66425
Evaluation 17 success rate: 0.7485
2025-03-04 21:51:14
Evaluation 1 success rate: 0.9956666666666667
Evaluation 2 success rate: 0.9946666666666667
Evaluation 3 success rate: 0.306
Evaluation 4 success rate: 0.29
Evaluation 5 success rate: 0.7903333333333333
Evaluation 6 success rate: 0.6983333333333334
Evaluation 7 success rate: 0.9873333333333333
Evaluation 8 success rate: 0.863
Evaluation 9 success rate: 0.9986666666666667
Evaluation 10 success rate: 0.8663333333333333
Evaluation 11 success rate: 0.966
Evaluation 12 success rate: 0.9973333333333333
Evaluation 13 success rate: 0.9826666666666667
Evaluation 14 success rate: 1.0
Evaluation 15 success rate: 1.0
Evaluation 16 success rate: 1.0
Evaluation 17 success rate: 0.6776666666666666
Evaluation 18 success rate: 0.6666666666666666
Evaluation 19 success rate: 0.9973333333333333
Evaluation 20 success rate: 0.7876666666666666
Evaluation 21 success rate: 0.838
Evaluation 22 success rate: 0.7736666666666666
Evaluation 23 success rate: 0.9853333333333333
Evaluation 24 success rate: 0.495
Evaluation 25 success rate: 0.6923333333333334
Evaluation 26 success rate: 0.531
Evaluation 27 success rate: 0.5006666666666667
Evaluation 28 success rate: 0.585
Evaluation 29 success rate: 0.7123333333333334
Evaluation 30 success rate: 1.0
Evaluation 31 success rate: 0.9643333333333334
Evaluation 32 success rate: 1.0
Evaluation 33 success rate: 0.9533333333333334
Evaluation 34 success rate: 0.79
Evaluation 35 success rate: 1.0
Evaluation 36 success rate: 1.0
Evaluation 37 success rate: 0.8196666666666667
Evaluation 38 success rate: 0.796
Evaluation 39 success rate: 0.7856666666666666
Evaluation 40 success rate: 1.0
Evaluation 41 success rate: 0.8693333333333333
Evaluation 42 success rate: 0.8273333333333334
Evaluation 43 success rate: 0.8493333333333334
Evaluation 44 success rate: 1.0
Evaluation 45 success rate: 0.8203333333333334
Evaluation 46 success rate: 0.614
Evaluation 47 success rate: 0.803
Evaluation 48 success rate: 0.42833333333333334
Evaluation 49 success rate: 0.6293333333333333
Evaluation 50 success rate: 1.0
Evaluation 51 success rate: 1.0
Evaluation 52 success rate: 0.9826666666666667
Evaluation 53 success rate: 1.0
Evaluation 54 success rate: 1.0
Evaluation 55 success rate: 1.0
Evaluation 56 success rate: 1.0
Evaluation 57 success rate: 0.963
Evaluation 58 success rate: 0.739
Evaluation 59 success rate: 0.8006666666666666
Evaluation 60 success rate: 1.0
Evaluation 61 success rate: 0.9933333333333333
Evaluation 62 success rate: 0.6516666666666666
Evaluation 63 success rate: 0.9136666666666666
Evaluation 64 success rate: 0.9613333333333334
Evaluation 65 success rate: 0.785
Evaluation 66 success rate: 0.6073333333333333
Evaluation 67 success rate: 0.8433333333333334
Evaluation 68 success rate: 0.8503333333333334
Evaluation 69 success rate: 0.9933333333333333
Evaluation 70 success rate: 0.8386666666666667
Evaluation 71 success rate: 0.9393333333333334
Evaluation 72 success rate: 0.835
Evaluation 73 success rate: 0.699
Evaluation 74 success rate: 0.893
Evaluation 75 success rate: 0.8783333333333333
Evaluation 76 success rate: 0.699
Evaluation 77 success rate: 0.7143333333333334
Evaluation 78 success rate: 0.9906666666666667
Evaluation 79 success rate: 1.0
Evaluation 80 success rate: 1.0
Evaluation 81 success rate: 0.964
Evaluation 82 success rate: 1.0
Evaluation 83 success rate: 1.0
Evaluation 84 success rate: 0.241
Evaluation 85 success rate: 0.6113333333333333
Evaluation 86 success rate: 1.0
Evaluation 87 success rate: 0.9766666666666667
Evaluation 88 success rate: 1.0
Evaluation 89 success rate: 1.0
Evaluation 90 success rate: 1.0
Evaluation 91 success rate: 0.9836666666666667
Evaluation 92 success rate: 1.0
Evaluation 93 success rate: 0.79
Evaluation 94 success rate: 0.9903333333333333
Evaluation 95 success rate: 1.0
Evaluation 96 success rate: 0.776
Evaluation 97 success rate: 0.7183333333333334
Evaluation 98 success rate: 1.0
Evaluation 99 success rate: 1.0
Evaluation 100 success rate: 0.9443333333333334
Evaluation 101 success rate: 1.0
Evaluation 102 success rate: 0.9826666666666667
Evaluation 103 success rate: 1.0
Evaluation 104 success rate: 0.9346666666666666
Evaluation 105 success rate: 0.8346666666666667
Evaluation 106 success rate: 0.8433333333333334
Evaluation 107 success rate: 1.0
Evaluation 108 success rate: 0.812
Evaluation 109 success rate: 0.7146666666666667
Evaluation 110 success rate: 0.9483333333333334
Evaluation 111 success rate: 0.9976666666666667
Evaluation 112 success rate: 0.9683333333333334
Evaluation 113 success rate: 0.994
Evaluation 114 success rate: 0.9493333333333334
Evaluation 115 success rate: 1.0
Evaluation 116 success rate: 1.0
Evaluation 117 success rate: 0.8206666666666667
Evaluation 118 success rate: 0.8046666666666666
Evaluation 119 success rate: 0.7746666666666666
Evaluation 120 success rate: 1.0
Evaluation 121 success rate: 1.0
Evaluation 122 success rate: 1.0
Evaluation 123 success rate: 1.0
